Key	Value
 BitsPerPixel	16
 DimensionOrder	XYCZT
 IsInterleaved	false
 IsRGB	false
 LittleEndian	true
 PixelType	uint16
 Series 0 Name	20210210-dropletspeed-dgw003-dgo004-sp00-00081.cxd
 SizeC	1
 SizeT	60
 SizeX	2048
 SizeY	2048
 SizeZ	1
Binning	1
Bit Depth	16-Bit
Camera Name	C11440-42U S/N: 102024
Camera Size	2048x2048
Camera Type	D_CAM
Capture Region	(X0=0, Y0=0, Width=2048, Height=2048)
Field 1 Binning	1.0
Field 1 Capture_Depth	16.0
Field 1 Image_Depth	16.0
Field 1 Image_Height	2048.0
Field 1 Image_Width	2048.0
Field 1 Time_From_Last	0.0
Field 1 Time_From_Start	0.0
Field 1 i_Image1 Binning	1.0
Field 1 i_Image1 Capture_Depth	16.0
Field 1 i_Image1 Image_Depth	16.0
Field 1 i_Image1 Image_Exposure1	0.003021
Field 1 i_Image1 Image_Height	2048.0
Field 1 i_Image1 Image_Width	2048.0
Field 1 i_Image1 Image_eCoeff1	0.48
Field 1 i_Image1 Image_eOffset1	100.0
Field 10 Binning	1.0
Field 10 Capture_Depth	16.0
Field 10 Image_Depth	16.0
Field 10 Image_Height	2048.0
Field 10 Image_Width	2048.0
Field 10 Time_From_Last	0.03332500000000005
Field 10 Time_From_Start	0.29993100000000006
Field 10 i_Image1 Binning	1.0
Field 10 i_Image1 Capture_Depth	16.0
Field 10 i_Image1 Image_Depth	16.0
Field 10 i_Image1 Image_Exposure1	0.003021
Field 10 i_Image1 Image_Height	2048.0
Field 10 i_Image1 Image_Width	2048.0
Field 10 i_Image1 Image_eCoeff1	0.48
Field 10 i_Image1 Image_eOffset1	100.0
Field 11 Binning	1.0
Field 11 Capture_Depth	16.0
Field 11 Image_Depth	16.0
Field 11 Image_Height	2048.0
Field 11 Image_Width	2048.0
Field 11 Time_From_Last	0.03332599999999997
Field 11 Time_From_Start	0.333257
Field 11 i_Image1 Binning	1.0
Field 11 i_Image1 Capture_Depth	16.0
Field 11 i_Image1 Image_Depth	16.0
Field 11 i_Image1 Image_Exposure1	0.003021
Field 11 i_Image1 Image_Height	2048.0
Field 11 i_Image1 Image_Width	2048.0
Field 11 i_Image1 Image_eCoeff1	0.48
Field 11 i_Image1 Image_eOffset1	100.0
Field 12 Binning	1.0
Field 12 Capture_Depth	16.0
Field 12 Image_Depth	16.0
Field 12 Image_Height	2048.0
Field 12 Image_Width	2048.0
Field 12 Time_From_Last	0.03332599999999997
Field 12 Time_From_Start	0.366583
Field 12 i_Image1 Binning	1.0
Field 12 i_Image1 Capture_Depth	16.0
Field 12 i_Image1 Image_Depth	16.0
Field 12 i_Image1 Image_Exposure1	0.003021
Field 12 i_Image1 Image_Height	2048.0
Field 12 i_Image1 Image_Width	2048.0
Field 12 i_Image1 Image_eCoeff1	0.48
Field 12 i_Image1 Image_eOffset1	100.0
Field 13 Binning	1.0
Field 13 Capture_Depth	16.0
Field 13 Image_Depth	16.0
Field 13 Image_Height	2048.0
Field 13 Image_Width	2048.0
Field 13 Time_From_Last	0.03332500000000005
Field 13 Time_From_Start	0.39990800000000004
Field 13 i_Image1 Binning	1.0
Field 13 i_Image1 Capture_Depth	16.0
Field 13 i_Image1 Image_Depth	16.0
Field 13 i_Image1 Image_Exposure1	0.003021
Field 13 i_Image1 Image_Height	2048.0
Field 13 i_Image1 Image_Width	2048.0
Field 13 i_Image1 Image_eCoeff1	0.48
Field 13 i_Image1 Image_eOffset1	100.0
Field 14 Binning	1.0
Field 14 Capture_Depth	16.0
Field 14 Image_Depth	16.0
Field 14 Image_Height	2048.0
Field 14 Image_Width	2048.0
Field 14 Time_From_Last	0.03332599999999997
Field 14 Time_From_Start	0.433234
Field 14 i_Image1 Binning	1.0
Field 14 i_Image1 Capture_Depth	16.0
Field 14 i_Image1 Image_Depth	16.0
Field 14 i_Image1 Image_Exposure1	0.003021
Field 14 i_Image1 Image_Height	2048.0
Field 14 i_Image1 Image_Width	2048.0
